gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,countrycode,locality,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue,,,,
1324201515,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24096605481212772,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa quercus,,SPECIES,Lasiocampa quercus (Linnaeus, 1758),IE,Inis MeánInis Meán,d2b97690-bfd6-11de-b279-d52977ace833,53.090454,-9.578645,100,,,,,,2014-07-23T00:00:00Z,23,7,2014,1734826,1734826,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.40966054812128E+016,,,CC_BY_4_0,,Gregory Woulahan,,,2018-07-06T23:19:32.718Z,,COORDINATE_ROUNDED,,,
1324201514,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24096605481212767,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Tyria,Tyria jacobaeae,,SPECIES,Tyria jacobaeae (Linnaeus, 1758),IE,Inis MeánInis MeánInis Meán,d2b97690-bfd6-11de-b279-d52977ace833,53.081026,-9.581434,100,,,,,,2014-07-24T00:00:00Z,24,7,2014,5115777,5115777,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.40966054812128E+016,,,CC_BY_4_0,,Gregory Woulahan,,,2018-07-06T23:23:53.015Z,,COORDINATE_ROUNDED,,,
1324201513,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24096605481212776,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa quercus,,SPECIES,Lasiocampa quercus (Linnaeus, 1758),IE,Inis MeánInis Meán,d2b97690-bfd6-11de-b279-d52977ace833,53.085365,-9.578832,100,,,,,,2014-07-24T00:00:00Z,24,7,2014,1734826,1734826,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.40966054812128E+016,,,CC_BY_4_0,,Gregory Woulahan,,,2018-07-06T23:19:32.836Z,,COORDINATE_ROUNDED,,,
1324201512,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24096605481212758,Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,Zygaena,Zygaena filipendulae,,SPECIES,Zygaena filipendulae (Linnaeus, 1758),IE,Inis MeánInis MeánInis Meán,d2b97690-bfd6-11de-b279-d52977ace833,53.096573,-9.5733,100,,,,,,2014-07-25T00:00:00Z,25,7,2014,5107219,5107219,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.40966054812128E+016,,,CC_BY_4_0,,Gregory Woulahan,,,2018-07-06T23:24:16.037Z,,COORDINATE_ROUNDED,,,
1324201511,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24096605481212773,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa quercus,,SPECIES,Lasiocampa quercus (Linnaeus, 1758),IE,Inis MeánInis Meán,d2b97690-bfd6-11de-b279-d52977ace833,53.09255,-9.575751,100,,,,,,2014-07-23T00:00:00Z,23,7,2014,1734826,1734826,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.40966054812128E+016,,,CC_BY_4_0,,Gregory Woulahan,,,2018-07-06T23:19:32.648Z,,COORDINATE_ROUNDED,,,
1324201510,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24096605481212764,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Tyria,Tyria jacobaeae,,SPECIES,Tyria jacobaeae (Linnaeus, 1758),IE,Inis MeánInis MeánInis Meán,d2b97690-bfd6-11de-b279-d52977ace833,53.083031,-9.590806,100,,,,,,2014-07-22T00:00:00Z,22,7,2014,5115777,5115777,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.40966054812128E+016,,,CC_BY_4_0,,Gregory Woulahan,,,2018-07-06T23:23:52.880Z,,COORDINATE_ROUNDED,,,
1324201509,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24096605481212737,Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,Zygaena,Zygaena filipendulae,,SPECIES,Zygaena filipendulae (Linnaeus, 1758),IE,Inis MeánInis MeánInis MeánInis Meán,d2b97690-bfd6-11de-b279-d52977ace833,53.076073,-9.59704,100,,,,,,2014-07-22T00:00:00Z,22,7,2014,5107219,5107219,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.40966054812127E+016,,,CC_BY_4_0,,Gregory Woulahan,,,2018-07-06T23:24:16.111Z,,COORDINATE_ROUNDED,,,
1324201508,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24096605481212765,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Tyria,Tyria jacobaeae,,SPECIES,Tyria jacobaeae (Linnaeus, 1758),IE,Inis MeánInis MeánInis Meán,d2b97690-bfd6-11de-b279-d52977ace833,53.087202,-9.566302,100,,,,,,2014-07-25T00:00:00Z,25,7,2014,5115777,5115777,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.40966054812128E+016,,,CC_BY_4_0,,Gregory Woulahan,,,2018-07-06T23:23:52.846Z,,COORDINATE_ROUNDED,,,
1324201507,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24096605481212753,Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,Zygaena,Zygaena filipendulae,,SPECIES,Zygaena filipendulae (Linnaeus, 1758),IE,Inis MeánInis MeánInis Meán,d2b97690-bfd6-11de-b279-d52977ace833,53.083907,-9.56954,100,,,,,,2014-07-25T00:00:00Z,25,7,2014,5107219,5107219,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.40966054812128E+016,,,CC_BY_4_0,,Gregory Woulahan,,,2018-07-06T23:24:16.089Z,,COORDINATE_ROUNDED,,,
1324201506,66a51aea-8662-4685-9fd0-9d4b596617d5,ie.nbdc.dataset.BiodiversityRecordsFromIreland.24096605481212741,Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,Zygaena,Zygaena filipendulae,,SPECIES,Zygaena filipendulae (Linnaeus, 1758),IE,Inis MeánInis MeánInis MeánInis Meán,d2b97690-bfd6-11de-b279-d52977ace833,53.084269,-9.569956,100,,,,,,2014-07-23T00:00:00Z,23,7,2014,5107219,5107219,HUMAN_OBSERVATION,NBDC,BiodiversityRecordsFromIreland,2.40966054812127E+016,,,CC_BY_4_0,,Gregory Woulahan,,,2018-07-06T23:24:15.992Z,,COORDINATE_ROUNDED,,,
