gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,countrycode,locality,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
30949752,835727b6-f762-11e1-a439-00145eb45e9a,30949752,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia sativa,,SPECIES,Vicia sativa L.,ES,ANGLÈS,  vores del camí a l'antiga via del tren,32498aba-d8d4-4202-ae39-d795577cdc4a,41.954395,2.576425,,,,,,,,,,,2975014,2975014,HUMAN_OBSERVATION,HGI,S,4086,,,CC_BY_4_0,,C. Rostán,,,2018-07-06T21:20:41.882Z,
30949751,835727b6-f762-11e1-a439-00145eb45e9a,30949751,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia sativa,nigra,SUBSPECIES,Vicia sativa subsp. nigra (L.) Ehrh.,ES,TORROELLA DE MONTGRÍ,32498aba-d8d4-4202-ae39-d795577cdc4a,42.045101,3.179979,,,,,,,1977-05-13T00:00:00Z,13,5,1977,2975035,2975014,HUMAN_OBSERVATION,HGI,S,4085,,,CC_BY_4_0,,L. Polo,,,2018-07-06T21:20:41.892Z,,GEODETIC_DATUM_ASSUMED_WGS84
30949750,835727b6-f762-11e1-a439-00145eb45e9a,30949750,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia sativa,nigra,SUBSPECIES,Vicia sativa subsp. nigra (L.) Ehrh.,ES,CALDES DE MALAVELLA, a Santa Ceclina,32498aba-d8d4-4202-ae39-d795577cdc4a,41.774899,2.818253,,,,,,,1981-05-10T00:00:00Z,10,5,1981,2975035,2975014,HUMAN_OBSERVATION,HGI,S,4084,,,CC_BY_4_0,,X. Viñas,,,2018-07-06T21:20:41.891Z,
30949749,835727b6-f762-11e1-a439-00145eb45e9a,30949749,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia pannonica,striata,SUBSPECIES,Vicia pannonica subsp. striata (M.Bieb.) Nyman,ES,LLAGOSTERA, a can Vidal,32498aba-d8d4-4202-ae39-d795577cdc4a,41.774899,2.818253,,,,,,,1982-05-07T00:00:00Z,7,5,1982,8326007,2974811,HUMAN_OBSERVATION,HGI,S,4083,,,CC_BY_4_0,,X. Viñas,,,2018-07-06T21:20:41.880Z,
30949748,835727b6-f762-11e1-a439-00145eb45e9a,30949748,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia lutea,,SPECIES,Vicia lutea L.,ES,LLAGOSTERA, entre can Palet Ferrer i la carretera de Tossa,32498aba-d8d4-4202-ae39-d795577cdc4a,41.774899,2.818253,,,,,,,1982-05-01T00:00:00Z,1,5,1982,2974753,2974753,HUMAN_OBSERVATION,HGI,S,4082,,,CC_BY_4_0,,X. Viñas,,,2018-07-06T21:20:41.884Z,
30949747,835727b6-f762-11e1-a439-00145eb45e9a,30949747,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia lutea,,SPECIES,Vicia lutea L.,ES,GIRONA, a la carretera dels Àngels,32498aba-d8d4-4202-ae39-d795577cdc4a,41.955032,2.817742,,,,,,,1976-05-02T00:00:00Z,2,5,1976,2974753,2974753,HUMAN_OBSERVATION,HGI,S,4081,,,CC_BY_4_0,,MC. Iglesias,,,2018-07-06T21:20:41.883Z,
30949746,835727b6-f762-11e1-a439-00145eb45e9a,30949746,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia lathyroides,,SPECIES,Vicia lathyroides L.,ES,ROSES, al cap Norfeu,32498aba-d8d4-4202-ae39-d795577cdc4a,42.224976,3.301663,,,,,,,1977-04-12T00:00:00Z,12,4,1977,2975076,2975076,HUMAN_OBSERVATION,HGI,S,4080,,,CC_BY_4_0,,L. Polo,,,2018-07-06T21:20:41.868Z,
30949745,835727b6-f762-11e1-a439-00145eb45e9a,30949745,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia lathyroides,,SPECIES,Vicia lathyroides L.,ES,ROSES, al cap Norfeu,32498aba-d8d4-4202-ae39-d795577cdc4a,42.224976,3.301663,,,,,,,1977-04-12T00:00:00Z,12,4,1977,2975076,2975076,HUMAN_OBSERVATION,HGI,S,4079,,,CC_BY_4_0,,L. Polo,,,2018-07-06T21:20:41.514Z,
30949744,835727b6-f762-11e1-a439-00145eb45e9a,30949744,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia lathyroides,,SPECIES,Vicia lathyroides L.,ES,LLAGOSTERA, a can Palet Ferrer,32498aba-d8d4-4202-ae39-d795577cdc4a,41.774899,2.818253,,,,,,,1982-05-02T00:00:00Z,2,5,1982,2975076,2975076,HUMAN_OBSERVATION,HGI,S,4078,,,CC_BY_4_0,,X. Viñas,,,2018-07-06T21:20:41.480Z,
30949743,835727b6-f762-11e1-a439-00145eb45e9a,30949743,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia hybrida,,SPECIES,Vicia hybrida L.,ES,CRUÏLLES, a Sant Sadurní,32498aba-d8d4-4202-ae39-d795577cdc4a,41.955162,3.059065,,,,,,,1979-05-08T00:00:00Z,8,5,1979,2975257,2975257,HUMAN_OBSERVATION,HGI,S,4077,,,CC_BY_4_0,,J. Adan,,,2018-07-06T21:20:41.512Z,
30949742,835727b6-f762-11e1-a439-00145eb45e9a,30949742,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia hybrida,,SPECIES,Vicia hybrida L.,ES,VERGES, al rec de l'estany,32498aba-d8d4-4202-ae39-d795577cdc4a,42.045227,3.059148,,,,,,,1976-03-10T00:00:00Z,10,3,1976,2975257,2975257,HUMAN_OBSERVATION,HGI,S,4076,,,CC_BY_4_0,,L. Hereu,,,2018-07-06T21:20:41.480Z,
30949741,835727b6-f762-11e1-a439-00145eb45e9a,30949741,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia hirsuta,,SPECIES,Vicia hirsuta (L.) Gray,ES,GIRONA, a l'estació d'Olot,32498aba-d8d4-4202-ae39-d795577cdc4a,41.955032,2.817742,,,,,,,1980-05-25T00:00:00Z,25,5,1980,2975328,2975328,HUMAN_OBSERVATION,HGI,S,4075,,,CC_BY_4_0,,R. Massip,,,2018-07-06T21:20:41.481Z,
30949740,835727b6-f762-11e1-a439-00145eb45e9a,30949740,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia hirsuta,,SPECIES,Vicia hirsuta (L.) Gray,ES,LLAGOSTERA, a can Palet Ferrer,32498aba-d8d4-4202-ae39-d795577cdc4a,41.774899,2.818253,,,,,,,1984-06-15T00:00:00Z,15,6,1984,2975328,2975328,HUMAN_OBSERVATION,HGI,S,4074,,,CC_BY_4_0,,X. Viñas,,,2018-07-06T21:20:41.503Z,
30949739,835727b6-f762-11e1-a439-00145eb45e9a,30949739,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia hirsuta,,SPECIES,Vicia hirsuta (L.) Gray,ES,GIRONA, a Sant Daniel, a can Mas,32498aba-d8d4-4202-ae39-d795577cdc4a,41.955032,2.817742,,,,,,,1981-04-15T00:00:00Z,15,4,1981,2975328,2975328,HUMAN_OBSERVATION,HGI,S,4073,,,CC_BY_4_0,,L. Polo,,,2018-07-06T21:20:41.494Z
30949738,835727b6-f762-11e1-a439-00145eb45e9a,30949738,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia hirsuta,,SPECIES,Vicia hirsuta (L.) Gray,ES,PALAU-SAVERDERA, a Sant Pere de Rodes,32498aba-d8d4-4202-ae39-d795577cdc4a,42.315292,3.180747,,,,,,,1970-05-18T00:00:00Z,18,5,1970,2975328,2975328,HUMAN_OBSERVATION,HGI,S,4072,,,CC_BY_4_0,,L. Polo,,,2018-07-06T21:20:41.500Z,
30949737,835727b6-f762-11e1-a439-00145eb45e9a,30949737,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia disperma,,SPECIES,Vicia disperma DC.,ES,LLAGOSTERA, a can Cabanyils vell,32498aba-d8d4-4202-ae39-d795577cdc4a,41.80637,2.788069,,,,,,,1984-05-06T00:00:00Z,6,5,1984,2974981,2974981,HUMAN_OBSERVATION,HGI,S,4071,,,CC_BY_4_0,,X. Viñas,,,2018-07-06T21:20:41.482Z,
30949736,835727b6-f762-11e1-a439-00145eb45e9a,30949736,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia disperma,,SPECIES,Vicia disperma DC.,ES,MAÇANET DE LA SELVA,32498aba-d8d4-4202-ae39-d795577cdc4a,41.774647,2.697932,,,,,,,1980-05-15T00:00:00Z,15,5,1980,2974981,2974981,HUMAN_OBSERVATION,HGI,S,4070,,,CC_BY_4_0,,L. Vilar,,,2018-07-06T21:20:41.465Z,,GEODETIC_DATUM_ASSUMED_WGS84
